,0
214,Baseline
215,Baseline
216,Vogals
217,Vogals
218,Vogals
219,Vogals
220,Vogals
221,Vogals
222,Vogals
223,Vogals
224,Vogals
225,Vogals
226,Vogals
227,Vogals
228,Vogals
229,Vogals
230,Vogals
231,Baseline
232,Baseline
233,Baseline
234,Baseline
235,Baseline
236,Baseline
237,Phrases
238,Phrases
239,Phrases
240,Phrases
241,Phrases
242,Phrases
243,Phrases
244,Phrases
245,Phrases
246,Phrases
247,Phrases
248,Phrases
249,Phrases
250,Phrases
251,Phrases
252,Baseline
253,Baseline
254,Baseline
255,Baseline
256,Baseline
257,Baseline
0,Baseline
1,Baseline
2,Baseline
3,Baseline
4,Baseline
5,Baseline
6,Phrases
7,Phrases
8,Phrases
9,Phrases
10,Phrases
11,Phrases
12,Phrases
13,Phrases
14,Phrases
15,Phrases
16,Phrases
17,Phrases
18,Phrases
19,Phrases
20,Phrases
21,Baseline
22,Baseline
23,Baseline
24,Baseline
25,Baseline
26,Baseline
27,Syllables
28,Syllables
29,Syllables
30,Syllables
31,Syllables
32,Syllables
33,Syllables
34,Syllables
35,Syllables
36,Syllables
37,Syllables
38,Syllables
39,Syllables
40,Syllables
41,Syllables
42,Baseline
43,Baseline
44,Baseline
45,Baseline
46,Baseline
47,Baseline
48,Vogals
49,Vogals
50,Vogals
51,Vogals
52,Vogals
53,Vogals
54,Vogals
55,Vogals
56,Vogals
57,Vogals
58,Vogals
59,Vogals
60,Vogals
61,Vogals
62,Vogals
63,Baseline
64,Baseline
65,Baseline
66,Baseline
67,Baseline
68,Baseline
69,Words
70,Words
71,Words
72,Words
73,Words
74,Words
75,Words
76,Words
77,Words
78,Words
79,Words
80,Words
81,Words
82,Words
83,Words
84,Baseline
85,Baseline
86,Baseline
87,Baseline
88,Baseline
89,Baseline
90,Syllables
91,Syllables
92,Syllables
93,Syllables
94,Syllables
95,Syllables
96,Syllables
97,Syllables
98,Syllables
99,Syllables
100,Syllables
101,Syllables
102,Syllables
103,Syllables
104,Syllables
105,Baseline
106,Baseline
107,Baseline
108,Baseline
109,Baseline
110,Baseline
111,Vogals
112,Vogals
113,Vogals
114,Vogals
115,Vogals
116,Vogals
117,Vogals
118,Vogals
119,Vogals
120,Vogals
121,Vogals
122,Vogals
123,Vogals
124,Vogals
125,Vogals
126,Baseline
127,Baseline
128,Baseline
129,Baseline
130,Baseline
131,Baseline
132,Words
133,Words
134,Words
135,Words
136,Words
137,Words
138,Words
139,Words
140,Words
141,Words
142,Words
143,Words
144,Words
145,Words
146,Words
147,Baseline
148,Baseline
149,Baseline
150,Baseline
151,Baseline
152,Baseline
153,Phrases
154,Phrases
155,Phrases
156,Phrases
157,Phrases
158,Phrases
159,Phrases
160,Phrases
161,Phrases
162,Phrases
163,Phrases
164,Phrases
165,Phrases
166,Phrases
167,Phrases
168,Baseline
169,Baseline
170,Baseline
171,Baseline
172,Baseline
173,Baseline
174,Vogals
175,Vogals
176,Vogals
177,Vogals
178,Vogals
179,Vogals
180,Vogals
181,Vogals
182,Vogals
183,Vogals
184,Vogals
185,Vogals
186,Vogals
187,Vogals
188,Vogals
189,Baseline
190,Baseline
191,Baseline
192,Baseline
193,Baseline
194,Baseline
195,Words
196,Words
197,Words
198,Words
199,Words
200,Words
201,Words
202,Words
203,Words
204,Words
205,Words
206,Words
207,Words
208,Words
209,Words
210,Baseline
211,Baseline
212,Baseline
213,Baseline
214,Baseline
215,Baseline
216,Syllables
217,Syllables
218,Syllables
219,Syllables
220,Syllables
221,Syllables
222,Syllables
223,Syllables
224,Syllables
225,Syllables
226,Syllables
227,Syllables
228,Syllables
229,Syllables
230,Syllables
231,Baseline
232,Baseline
233,Baseline
234,Baseline
235,Baseline
236,Baseline
237,Phrases
238,Phrases
239,Phrases
240,Phrases
241,Phrases
242,Phrases
243,Phrases
244,Phrases
245,Phrases
246,Phrases
247,Phrases
248,Phrases
249,Phrases
250,Phrases
251,Phrases
252,Baseline
253,Baseline
254,Baseline
255,Baseline
256,Baseline
257,Baseline
0,Baseline
1,Baseline
2,Baseline
3,Baseline
4,Baseline
5,Baseline
6,Syllables
7,Syllables
8,Syllables
9,Syllables
10,Syllables
11,Syllables
12,Syllables
13,Syllables
14,Syllables
15,Syllables
16,Syllables
17,Syllables
18,Syllables
19,Syllables
20,Syllables
21,Baseline
22,Baseline
23,Baseline
24,Baseline
25,Baseline
26,Baseline
27,Words
28,Words
29,Words
30,Words
31,Words
32,Words
33,Words
34,Words
35,Words
36,Words
37,Words
38,Words
39,Words
40,Words
41,Words
42,Baseline
43,Baseline
44,Baseline
45,Baseline
46,Baseline
47,Baseline
48,Phrases
49,Phrases
50,Phrases
51,Phrases
52,Phrases
53,Phrases
54,Phrases
55,Phrases
56,Phrases
57,Phrases
58,Phrases
59,Phrases
60,Phrases
61,Phrases
62,Phrases
63,Baseline
64,Baseline
65,Baseline
66,Baseline
67,Baseline
68,Baseline
69,Vogals
70,Vogals
71,Vogals
72,Vogals
73,Vogals
74,Vogals
75,Vogals
76,Vogals
77,Vogals
78,Vogals
79,Vogals
80,Vogals
81,Vogals
82,Vogals
83,Vogals
84,Baseline
85,Baseline
86,Baseline
87,Baseline
88,Baseline
89,Baseline
90,Phrases
91,Phrases
92,Phrases
93,Phrases
94,Phrases
95,Phrases
96,Phrases
97,Phrases
98,Phrases
99,Phrases
100,Phrases
101,Phrases
102,Phrases
103,Phrases
104,Phrases
105,Baseline
106,Baseline
107,Baseline
108,Baseline
109,Baseline
110,Baseline
111,Words
112,Words
113,Words
114,Words
115,Words
116,Words
117,Words
118,Words
119,Words
120,Words
121,Words
122,Words
123,Words
124,Words
125,Words
126,Baseline
127,Baseline
128,Baseline
129,Baseline
130,Baseline
131,Baseline
132,Vogals
133,Vogals
134,Vogals
135,Vogals
136,Vogals
137,Vogals
138,Vogals
139,Vogals
140,Vogals
141,Vogals
142,Vogals
143,Vogals
144,Vogals
145,Vogals
146,Vogals
147,Baseline
148,Baseline
149,Baseline
150,Baseline
151,Baseline
152,Baseline
153,Syllables
154,Syllables
155,Syllables
156,Syllables
157,Syllables
158,Syllables
159,Syllables
160,Syllables
161,Syllables
162,Syllables
163,Syllables
164,Syllables
165,Syllables
166,Syllables
167,Syllables
168,Baseline
169,Baseline
170,Baseline
171,Baseline
172,Baseline
173,Baseline
174,Vogals
175,Vogals
176,Vogals
177,Vogals
178,Vogals
179,Vogals
180,Vogals
181,Vogals
182,Vogals
183,Vogals
184,Vogals
185,Vogals
186,Vogals
187,Vogals
188,Vogals
189,Baseline
190,Baseline
191,Baseline
192,Baseline
193,Baseline
194,Baseline
195,Phrases
196,Phrases
197,Phrases
198,Phrases
199,Phrases
200,Phrases
201,Phrases
202,Phrases
203,Phrases
204,Phrases
205,Phrases
206,Phrases
207,Phrases
208,Phrases
209,Phrases
210,Baseline
211,Baseline
212,Baseline
213,Baseline
214,Baseline
215,Baseline
216,Syllables
217,Syllables
218,Syllables
219,Syllables
220,Syllables
221,Syllables
222,Syllables
223,Syllables
224,Syllables
225,Syllables
226,Syllables
227,Syllables
228,Syllables
229,Syllables
230,Syllables
231,Baseline
232,Baseline
233,Baseline
234,Baseline
235,Baseline
236,Baseline
237,Words
238,Words
239,Words
240,Words
241,Words
242,Words
243,Words
244,Words
245,Words
246,Words
247,Words
248,Words
249,Words
250,Words
251,Words
252,Baseline
253,Baseline
254,Baseline
255,Baseline
256,Baseline
257,Baseline
